Track,Artist,Album,Release_Year,Duration,Time_Signature,Danceability,Energy,Track_Key,Loudness,Song_Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Popularity_Category,Energy_Range,Danceability_Range,Loudness_Range,Liveness_Range
"1 step forward, 3 steps back",Olivia Rodrigo,SOUR,2021,163586,4,0.0,0.0,2,-13.0,1,0.0,1.0,0.0,0.0,0.0,169.0,77,Medium,Low,Low,Medium,Low
1985 - Intro to ?The Fall Off?,J. Cole,KOD,2018,190176,4,1.0,1.0,2,-6.0,1,0.0,0.0,0.0,0.0,1.0,94.0,57,Medium,High,High,High,Low
3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,Just Cause Y'all Waited 2,2020,169531,4,1.0,0.0,8,-9.0,0,0.0,0.0,0.0,0.0,0.0,143.0,69,Medium,Low,High,High,Low
35?s,Tyler Hubbard,Tyler Hubbard,2023,174733,4,1.0,1.0,10,-6.0,1,0.0,0.0,0.0,0.0,0.0,140.0,49,Low,High,High,High,Low
3D (feat. Jack Harlow),Jung Kook,3D : The Remixes,2023,201812,4,1.0,1.0,1,-3.0,1,0.0,0.0,0.0,0.0,1.0,108.0,78,Medium,High,High,High,Low
5 Foot 9,Tyler Hubbard,5 Foot 9,2023,189780,4,1.0,1.0,5,-6.0,1,0.0,0.0,0.0,0.0,1.0,106.0,67,Medium,High,High,High,Low
7 rings,Ariana Grande,"thank u, next",2019,178626,4,1.0,0.0,1,-11.0,0,0.0,1.0,0.0,0.0,0.0,140.0,50,Medium,Low,High,Medium,Low
7 Summers,Morgan Wallen,Dangerous: The Double Album,2020,210506,4,0.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,1.0,204.0,78,Medium,High,Low,High,Low
Adore You,Harry Styles,Fine Line,2019,207133,4,1.0,1.0,8,-4.0,1,0.0,0.0,0.0,0.0,1.0,99.0,82,High,High,High,High,Low
Adore You,Miley Cyrus,Bangerz (Deluxe Version),2013,278746,4,1.0,1.0,0,-5.0,1,0.0,0.0,0.0,0.0,0.0,120.0,68,Medium,High,High,High,Low
Adorn,Miguel,Kaleidoscope Dream,2012,193146,4,1.0,1.0,11,-6.0,0,0.0,0.0,0.0,0.0,0.0,179.0,67,Medium,High,High,High,Low
After Hours,The Weeknd,After Hours,2020,361026,4,1.0,1.0,5,-6.0,0,0.0,0.0,0.0,0.0,0.0,109.0,80,High,High,High,High,Low
Ahora Me Llama,KAROL G,Unstoppable,2017,235226,4,1.0,1.0,7,-6.0,0,0.0,0.0,0.0,0.0,0.0,135.0,70,Medium,High,High,High,Low
AIN'T GONNA ANSWER,NLE Choppa,AIN'T GONNA ANSWER,2023,187453,4,1.0,1.0,10,-2.0,0,0.0,0.0,0.0,0.0,1.0,95.0,58,Medium,High,High,High,Low
